date_key,date,year,quarter,month,month_name,day,weekday_name,is_weekend
20170930,2017-09-30,2017,3,9,September,30,Saturday,True
20171001,2017-10-01,2017,4,10,October,1,Sunday,True
20171002,2017-10-02,2017,4,10,October,2,Monday,False
20171003,2017-10-03,2017,4,10,October,3,Tuesday,False
20171004,2017-10-04,2017,4,10,October,4,Wednesday,False
20171005,2017-10-05,2017,4,10,October,5,Thursday,False
20171006,2017-10-06,2017,4,10,October,6,Friday,False
20171007,2017-10-07,2017,4,10,October,7,Saturday,True
20171008,2017-10-08,2017,4,10,October,8,Sunday,True
20171009,2017-10-09,2017,4,10,October,9,Monday,False
20171010,2017-10-10,2017,4,10,October,10,Tuesday,False
20171011,2017-10-11,2017,4,10,October,11,Wednesday,False
20171012,2017-10-12,2017,4,10,October,12,Thursday,False
20171013,2017-10-13,2017,4,10,October,13,Friday,False
20171014,2017-10-14,2017,4,10,October,14,Saturday,True
20171015,2017-10-15,2017,4,10,October,15,Sunday,True
20171016,2017-10-16,2017,4,10,October,16,Monday,False
20171017,2017-10-17,2017,4,10,October,17,Tuesday,False
20171018,2017-10-18,2017,4,10,October,18,Wednesday,False
20171019,2017-10-19,2017,4,10,October,19,Thursday,False
20171020,2017-10-20,2017,4,10,October,20,Friday,False
20171021,2017-10-21,2017,4,10,October,21,Saturday,True
20171022,2017-10-22,2017,4,10,October,22,Sunday,True
20171023,2017-10-23,2017,4,10,October,23,Monday,False
20171024,2017-10-24,2017,4,10,October,24,Tuesday,False
20171025,2017-10-25,2017,4,10,October,25,Wednesday,False
20171026,2017-10-26,2017,4,10,October,26,Thursday,False
20171027,2017-10-27,2017,4,10,October,27,Friday,False
20171028,2017-10-28,2017,4,10,October,28,Saturday,True
20171029,2017-10-29,2017,4,10,October,29,Sunday,True
20171030,2017-10-30,2017,4,10,October,30,Monday,False
20171031,2017-10-31,2017,4,10,October,31,Tuesday,False
20171101,2017-11-01,2017,4,11,November,1,Wednesday,False
20171102,2017-11-02,2017,4,11,November,2,Thursday,False
20171103,2017-11-03,2017,4,11,November,3,Friday,False
20171104,2017-11-04,2017,4,11,November,4,Saturday,True
20171105,2017-11-05,2017,4,11,November,5,Sunday,True
20171106,2017-11-06,2017,4,11,November,6,Monday,False
20171107,2017-11-07,2017,4,11,November,7,Tuesday,False
20171108,2017-11-08,2017,4,11,November,8,Wednesday,False
20171109,2017-11-09,2017,4,11,November,9,Thursday,False
20171110,2017-11-10,2017,4,11,November,10,Friday,False
20171111,2017-11-11,2017,4,11,November,11,Saturday,True
20171112,2017-11-12,2017,4,11,November,12,Sunday,True
20171113,2017-11-13,2017,4,11,November,13,Monday,False
20171114,2017-11-14,2017,4,11,November,14,Tuesday,False
20171115,2017-11-15,2017,4,11,November,15,Wednesday,False
20171116,2017-11-16,2017,4,11,November,16,Thursday,False
20171117,2017-11-17,2017,4,11,November,17,Friday,False
20171118,2017-11-18,2017,4,11,November,18,Saturday,True
20171119,2017-11-19,2017,4,11,November,19,Sunday,True
